"Gene","log2FC","p_val","Instability_Score","Significant"
"HBA",0.806093435881293,0.124553242594451,6.35052457168824,"Non-Significant"
"LOC102909039",-0.230067135845699,0.308920973069778,6.3426856256282,"Non-Significant"
"Smpd1",0.104167096631281,0.151536798974222,6.34220020595632,"Non-Significant"
"LOC102915118",-0.412439390082781,0.026518945224773,6.33300061481542,"Non-Significant"
"Agt",0.0565992027308191,0.334192970614969,6.33087292906656,"Non-Significant"
"Sod3",-0.2154134614079,0.21537596710672,6.33070388438002,"Non-Significant"
"LOC102906124",0.157108566935133,0.303082005226453,6.32504001716814,"Non-Significant"
"Psma7",0.0290589982129799,0.909800985803754,6.30996299324509,"Non-Significant"
"Apom",0.0984590450343532,0.709985043612882,6.30759232693849,"Non-Significant"
"L1cam",-0.185623639213921,0.50541981888572,6.28986020050999,"Non-Significant"
"Habp",-0.0865614035776741,0.59712654945822,6.28976702112918,"Non-Significant"
"Clec3b",-0.224962962865897,0.184452527201435,6.2892485098376,"Non-Significant"
"Fermt3",0.390402988096776,0.122694642638825,6.28689359516895,"Non-Significant"
"Prg4",0.174244535054319,0.483530771223297,6.28497128236793,"Non-Significant"
"Tcn2",0.186218623114968,0.386209190185044,6.27133282945116,"Non-Significant"
"Fbp1",0.619762102498724,0.0673122840224377,6.26445225600828,"Non-Significant"
"Il1rap",-0.00118432057917595,0.993065426673387,6.24251615544055,"Non-Significant"
"LOC102916027",-0.00451968982088857,0.993015685682156,6.23039782848591,"Non-Significant"
"LOC102915572",-0.174115779418486,0.778260991204388,6.19909914692594,"Non-Significant"
"Sord",0.508997008989066,0.0967369530862169,6.19294403465037,"Non-Significant"
"Pla2g2a",-0.125668180191871,0.573005877092183,6.180010272483,"Non-Significant"
"Fga",-0.0382762900473921,0.897432728478522,6.17377723627191,"Non-Significant"
"Efemp1",-0.0569404488433847,0.725043385718448,6.17324539851319,"Non-Significant"
"Lmtk2",-0.552118046130445,0.279128145790038,6.15838318763567,"Non-Significant"
"Masp1",0.0304719913848004,0.579118025045015,6.15211581644016,"Non-Significant"
"Tgfbi",-0.388435926144361,0.374315354666723,6.14665699653941,"Non-Significant"
"Sod1",0.857744459132091,0.1498793856003,6.13059871577612,"Non-Significant"
"Cetp",0.295506254035217,0.249750233578691,6.09928839925934,"Non-Significant"
"C1s",-0.0718064447666382,0.621985856862207,6.07451957132324,"Non-Significant"
"LOC102922906",0.644221105311779,0.187090732893889,6.06751028696455,"Non-Significant"
