"Gene","Instability_Score"
"LOC128096310",9.68933375772102
"Glt8d1",9.65747161605986
"Eef1b2",9.63761979222533
"Slco4c1",9.60109286579022
"LOC128099140",9.59535219011329
"LOC128110072",9.59125971951984
"Ppp2r3c",9.58927503972983
"LOC128105789",9.58882518427253
"Trappc9",9.58247740078636
"Peds1",9.56961877533169
"Sugt1",9.54477853835466
"Rps11",9.52967936916146
"Copb1",9.5143575440052
"Ldaf1",9.50633866403733
"Hspa12a",9.49951208571135
"Atp6v1g1",9.49627613524595
"Ssb",9.49587382416964
"Rida",9.49572225536885
"Dgat2",9.49275508750361
"Csnk2a2",9.48434389162383
"Htra3",9.47105641396772
"Ptafr",9.46670830949882
"Ndufs1",9.46479138993787
"Nek4",9.46393469854937
"Mpzl2",9.455845975812
"LOC128096525",9.45032793227657
"Tecr",9.43831690724569
"Bysl",9.42952946281382
"LOC128125468",9.40722752945098
"LOC128111658",9.38414817531243
"Rnd1",9.37843355451815
"Paip2",9.37636047450154
"Moap1",9.36894280814229
"Fzd1",9.36599645897103
"Fam98a",9.35488760839047
"Prpf39",9.3348257042306
"Inpp5f",9.33039287532066
"Stmn2",9.32864646496603
"Stat2",9.32619510200693
"LOC128124441",9.31894316722037
"Lipg",9.31222292922909
"Hey1",9.31211561849238
"Piezo1",9.28730930674447
"Emp2",9.22108516387229
"Endod1",9.20638257948965
"Aprt",9.20544326954567
"Pex2",9.19201410071865
"Skic2",9.17641856807813
"Mmp15",9.15820029699597
"Sptssa",9.15762228723482
"Rnf38",9.15133654945988
"Dars2",9.13922502779805
"Gabpa",9.12847081119855
"Dnah11",9.12790663492157
"Smarcad1",9.12594480482343
"Cfap20",9.10809914985497
"Ndfip2",9.10313260972277
"Ndufa7",9.10061541566089
"Huwe1",9.0974602728433
"Ppm1e",9.09733141439501
"Cd99",9.09120955867226
"Rpl14",9.07629291137243
"Rdm1",9.06504126511782
"Fbln5",9.05965478708602
"Gstz1",9.05855274021695
"Malsu1",9.05580042175774
"Ccnd3",9.04830442673721
"Igfbp3",9.01118198209004
