"Gene","PC1","PC2"
"Slc4a4",0.00969984621713,-0.0152152540225594
"LOC128114181",0.0115985968033716,0.015209093538086
"LOC128111478",0.0105238318348121,0.0152075630520797
"Anxa3",0.00188625179030888,-0.0151970263061353
"Selenoi",0.00364728287164696,0.0151967208891111
"LOC128123819",0.0127410931207163,0.0151957678071708
"Casp1",-0.00621180897952723,0.0151921949840793
"Paqr4",0.00308725099988472,-0.0151911734697427
"LOC128110705",-0.00565606310765553,0.0151763606441848
"Tmem86a",0.00544259766191218,-0.0151747726302254
"Lrrn1",-0.000622374931785304,-0.0151657968243458
"LOC128099381",0.0131358641535632,0.0151569896640884
"Rnd1",0.00517576686316645,-0.0151247499465775
"LOC128108433",-0.00457355345068858,0.0151242485161861
"LOC128105774",-0.00991421662031723,0.0151166821447284
"Paox",0.0107994216257378,-0.0151002068795898
"B3gnt7",-0.000875365561139695,0.0150931524706991
"LOC128118854",0.00425036409637815,0.0150889443493648
"LOC128121257",0.00515276529689743,0.0150740250943765
"Zmynd19",-0.00126531283076803,0.0150731012720985
"Ppp2r2c",0.000259388259317566,-0.0150728781852033
"Ms4a8",0.00397238961692052,0.0150665613418804
"LOC128112724",-0.000642328096144288,-0.0150608334388089
"LOC128124643",0.00391805053657965,0.0150589865294645
"LOC128125432",0.00506372401284066,-0.0150537050474459
"Cep120",-0.00369975246276414,-0.0150478175073012
"Epb41l2",0.00780535769473993,-0.0150465607172844
"LOC128111475",-0.00104999851885068,0.015046537754968
"LOC128111025",0.0114258601883369,0.0150410737046897
"LOC128120663",-0.00980837313489324,0.0150407953812909
"Flii",-0.00736566024756122,-0.0150384548833513
"LOC128099398",0.0117627923733552,0.0150379264648218
"Ascl4",-0.00170902842222458,0.015032674732259
"Masp1",0.00425605942419459,-0.0150273933745533
"LOC128099355",0.0112186734964491,0.0150061176337374
"LOC128107983",-0.00940049247616203,0.0150035159099556
"Pgghg",0.000296375669631805,0.0149995269730807
"Fgfr1",-0.0028225175583046,-0.0149979165155813
"Cd8b",0.00381823381886803,-0.0149934234624247
"Map2k7",0.00205156373345677,-0.0149864490521364
"Angptl5",-0.00480869580591343,-0.0149797856294217
"LOC128106515",-0.00195715391573086,0.0149687285380928
"Bicdl1",0.00779169893150602,-0.014958014267071
"LOC128099234",-0.00504318067955277,0.0149567322674552
"LOC128104212",-0.00189587890372153,0.0149561896811054
"Os9",0.0075883362437505,0.014947987828704
"Marchf10",-0.00370954402377863,0.0149478714464501
"Myocd",-0.00553492136958689,-0.0149437132221591
"LOC128099688",0.000840417376364654,0.0149411679500534
"LOC128095565",-0.00249532502294095,-0.0149323091339901
"Insyn2b",-0.0069549799360097,0.0149305541277877
"Srfbp1",0.00650451867357802,0.0149253957855258
"LOC128114050",-0.00670697549633582,0.0149206967108663
"LOC128117770",0.00246363192066329,0.0149202510163966
"Sec16a",0.00539370932776092,-0.0149163931408307
"Arap1",0.000252599670671399,0.014912869121202
"LOC128123962",-0.00559875785658272,0.0149062424429511
"Fbxo10",-0.00346298608195893,0.0149051127356694
"LOC128099653",0.0136319851895873,0.0149028695627423
"Dclre1a",0.00375233281554467,0.0148971173479395
"LOC128106564",0.0147878975667141,0.0148894543917157
"LOC128101317",0.00951545738690681,-0.0148869754189015
"Upf3a",-0.00273454021575568,-0.0148840260786257
"LOC128099654",0.00994421073040541,0.0148824497136784
"Pom121l2",-0.000346735525512186,0.0148699021701833
"LOC128110255",-0.00990549263294398,0.0148640214193123
"Togaram2",0.000455014230460038,0.014862618687168
"LOC128099603",0.00822202738197823,0.0148619182515928
"LOC128110366",-0.000837366906999646,0.0148546222582987
"LOC128094937",-0.00531659325670483,0.0148485514373604
"Slamf8",-0.000891650099180536,0.0148448176319099
"LOC128120642",-0.00156440707474636,-0.0148408416467942
"LOC128106706",-0.00614937715926947,0.0148387255300495
"Srm",-0.00258931792398799,-0.0148376921818744
"Tcf7",0.0075354390869518,0.0148369999305965
"Dmkn",0.00895281766943408,0.0148332668649246
"LOC128110369",0.010788737782289,0.0148283161856051
"LOC128114348",0.00810103213146071,0.0148263314048311
"Rarb",-0.00214962150352913,-0.0148184989271176
"LOC128115151",-0.00382804516102907,0.0148174703570688
"Tob1",0.00780798795507491,-0.01481729419133
"Nek8",-0.00542681677688771,0.0148014005941052
"Gabpa",-0.00548914368676051,-0.01478744635615
"LOC128120077",-0.00714472967087284,0.0147780190713564
"LOC128121037",-0.00455003062300595,0.0147769507869704
"Jpt2",-0.00609700367086028,0.0147683214655476
"LOC128103004",-0.00178576044723187,0.0147639302134253
"LOC128115166",8.68456308119604e-05,-0.0147624167698494
"LOC128099737",-0.00352631613899073,0.0147623690648292
"Glb1l2",0.00348148944983747,-0.0147614142034856
"Rph3al",-0.00803141967452369,-0.0147549999054672
"LOC128114944",-0.00369659081614873,0.014753441135571
"Mamdc4",-0.000642857740484046,-0.014743159068665
"LOC128105585",0.0127600821389177,0.0147394104666028
"LOC128097964",-0.00681782587997801,0.0147193030332821
"Sh3bp1",0.00053516658291169,0.0147187290099599
"LOC128095852",-0.00692026268617512,0.0147166866661378
"Rabl6",0.00662998675726957,-0.0147131414335655
"Rhbdl3",0.00391945199724626,-0.014709800628845
"Pamr1",0.00446265468952395,-0.0147034501567603
"LOC128111657",-0.000665156268933018,0.0146997456475145
"Mideas",0.00336895021055405,-0.0146959724632399
"LOC128106264",-0.00689982520176499,0.0146935376877015
