"Gene","Instability_Score"
"RP11-51J9.5",0.293109462239809
"C5",0.29223643142848
"RP11-414H17.5",0.291927291422343
"GGTLC4P",0.291390714923685
"AC073046.25",0.291270574775615
"RPL12P14",0.291146176822851
"RNU6-817P",0.290888751405108
"RP11-452L6.1",0.290487292713925
"CTC-429P9.1",0.289857602013843
"SNORA49",0.289485522838339
"RRAD",0.28925978485125
"SGK1",0.289065617588805
"CDH1",0.288499048054336
"HLA-DMB",0.287907629192792
"MIR6780B",0.287863195557905
"INHBB",0.287735744244498
"AC004022.7",0.287683867972503
"RP1-315G1.3",0.287623810193575
"PPP1R14D",0.286767080441175
"RNU6-553P",0.28622699060941
"RP11-501C14.7",0.285990838141719
"SNORD8",0.285534931307359
"RP11-12D24.6",0.285264130332132
"KCNK5",0.284997988758721
"HMGN2P4",0.284838503648032
"SNORD116-6",0.284785961739878
"SNORD11B",0.284649417125288
"MIR4701",0.284232211970752
"RNU7-171P",0.283211530283641
"MIR3671",0.282924471260503
"SNORA80B",0.282840877421555
"RNA5SP311",0.282352071232341
"HMGCS1",0.281601798766669
"RNU6-37P",0.280338441984441
"RP3-340B19.2",0.278783148960524
"LINC01433",0.278473527514862
"MIR6832",0.277545511724564
"RAB33A",0.27667298474625
"RNA5SP435",0.27654721044433
"AC069499.1",0.276491260974587
"GPCPD1",0.27569340448053
"RPS15AP1",0.27567691575698
"RP11-631N16.4",0.275472766811808
"RNU5F-1",0.274829966685878
"RP1-149A16.16",0.274682180721617
"AC093702.1",0.273246750296579
"RP5-1021I20.7",0.273147838241329
"MIR3972",0.273088127022045
"RP11-274B21.13",0.273040752989315
"RNU5F-4P",0.272276654474448
"IFITM3",0.271933555418372
"MIR3677",0.271554160952699
"RP11-141C7.5",0.27149107671677
"RP11-266L9.8",0.270976058943752
"CTD-2325P2.3",0.270083520971984
"RNY1P13",0.269877284750126
"BANF1P3",0.269781476274542
"CFH",0.269709048833282
"RP11-301O19.1",0.269658573229714
"RNA5SP364",0.26962591904725
"FGFR4",0.269398728004727
"APOH",0.268722898056752
"RP11-622J8.1",0.268698630111235
"RNU7-77P",0.268476062497398
"RNU7-75P",0.268120943337942
"TLE1P1",0.268074540533609
"MEIOB",0.268012365707594
