"Gene","PC1","PC2"
"SLC22A18",-0.00210285353189049,-0.016281893016834
"ABCC3",-0.00425804693111905,-0.0162672551293567
"SYPL1",0.00348318512204133,0.0162609402730383
"VKORC1L1",-0.000752745387241577,0.0162442257028612
"FAM20C",0.00252766748693323,-0.0162425263443856
"NOP16",-0.00404835860877097,0.0162418290598184
"HJURP",0.00345599915186113,0.0162392298864917
"PDCD5",0.000669850940252744,0.0162195479608542
"EIF3J",-0.00382637898191122,0.0162156410292011
"WDR43",-0.00414815499502333,0.0162068007505191
"EIF3B",-0.00339158203509519,0.0161704964585206
"ABTB1",-0.00253781763458726,-0.0161473737112001
"PAK2",0.0032325072987756,0.016142799220085
"AHCTF1",-0.00298885777470928,0.0161194775195636
"HSPH1",0.00140729622710796,0.0161046319626203
"OAZ1",-0.000723375615027172,0.0161032130791169
"POLR3G",-0.00542470754286503,0.0160860864314462
"ERBB2",0.00140961771774708,-0.0160279095100728
"SORD",-0.00282466090376468,0.0160270128018719
"CAPN5",-0.00252398464790717,-0.0160137508286282
"PDCD11",0.0042184014708066,0.0159992711891333
"FERMT1",0.00529668167023815,0.0159985264659647
"1.15",-0.00206869735857999,0.0159984333959592
"STIP1",-0.00459650542822829,0.0159717189138186
"TCERG1",0.00205135023846028,0.015950419385578
"UTP6",-0.000797799364116192,0.0159276152857208
"PA2G4",-0.00527551947689597,0.0159270387931729
"PSAT1",-0.00151774304472434,0.0159014064354342
"UTP4",0.00590706693739182,0.0158901313281239
"BUB3",-0.00393567159282264,0.0158812401570817
"CHUK",0.00306743094726406,0.0158598284981482
"BYSL",-0.000249747027549746,0.0158378348433142
"ULK1",-0.00414907604305388,-0.0158363720737316
"EIF1AX",-0.000296390495648567,0.0158054049742732
"DNM1",0.00287348953727454,-0.0158028327019638
"HSPA4",0.0017535000932347,0.0157828684836654
"RP11-806O11.1",-0.00225771141331907,-0.0157734963925047
"G3BP1",0.00459528768319389,0.0157548433205374
"DBF4",-0.00195483536951738,0.0157538981217306
"CKS2",-0.00165508692024336,0.0157472145281154
"EXOSC2",-0.00161985478129199,0.0157283566514908
"PUM3",0.00445742411478896,0.0157221945283067
"NAT10",-0.00151305175341148,0.0156783070548243
"LAS1L",-4.87785911422456e-05,0.01564306005728
"DIP2C",-0.00108921024705974,-0.0156368375520601
"CDC25B",-0.000935551451764932,0.0156301939164933
"CNBP",-0.00246227191163655,0.015625284261979
"ABCF1",0.00397485762923972,0.0156067963275194
"ESF1",-0.0024060556329137,0.0155972958409662
"POLR1E",-0.000379915629360416,0.0155889752933956
"RRS1",0.00312080044572133,0.0155851373432725
"ATP2A3",0.00167856637065835,-0.0155769880002917
"HEXDC",-0.00126926002774208,-0.0155754710438621
"OSBPL5",-0.00149195965279001,-0.0155523919293327
"HSP90AB1",0.00242126627807554,0.0155427185097376
"TOMM70",-0.00669821626430332,0.0155357188359399
"EPT1",-0.00250546836672443,0.0155322706019998
"SAMD11",-0.00424966220518417,-0.015520571815344
"TOR1B",-0.00399864901760652,0.0155152864211501
"DDR1",-0.00374995884804545,-0.0155054780763233
"GLRX5",-0.00515514176445415,0.0155038035122016
"HNRNPU",-7.27985325751668e-05,0.0154970925459866
"COPS3",-0.00104079721701247,0.0154909548616335
"EIF5A",0.00101300033791714,0.0154625353802324
"NIPA2",0.00359035115244891,0.0154568684943109
"TMED8",8.99618979851213e-06,0.0154496509953107
